title,price,url,scrape_date,tech_Manufacturer,tech_Country of Origin,tech_Item model number,tech_Package Dimensions,tech_ASIN,info_Manufacturer,info_Packer,info_Importer,info_Item Weight,info_Net Quantity,info_Included Components,info_Generic Name,tech_Brand,tech_Series,tech_Colour,tech_Form Factor,tech_Item Height,tech_Item Width,tech_Standing screen display size,tech_Screen Resolution,tech_Product Dimensions,tech_Batteries,tech_Processor Brand,tech_Processor Type,tech_Processor Speed,tech_Processor Count,tech_RAM Size,tech_Memory Technology,tech_Maximum Memory Supported,tech_Hard Disk Description,tech_Audio Details,tech_Graphics Coprocessor,tech_Graphics Chipset Brand,tech_Graphics Card Description,tech_Graphics RAM Type,tech_Graphics Card Ram Size,tech_Graphics Card Interface,tech_Connectivity Type,tech_Number of USB 3.0 Ports,tech_Voltage,tech_Operating System,tech_Are Batteries Included,tech_Lithium Battery Energy Content,tech_Number of Lithium Ion Cells,tech_Included Components,tech_Item Weight,info_ASIN,info_Customer Reviews,info_Best Sellers Rank,info_Date First Available,info_Item Dimensions LxWxH,tech_Resolution,tech_Computer Memory Type,tech_Optical Drive Type,tech_Memory Clock Speed,tech_Hard Drive Size,tech_Hard Drive Interface,tech_Wireless Type,tech_Average Battery Life (in hours),tech_Hard Disk Rotational Speed,tech_Number of HDMI Ports,tech_Power Source,tech_Hardware Platform,tech_Number of USB 2.0 Ports,tech_Notebook Display Technology,tech_Number of Ethernet Ports,tech_Speaker Description,tech_Wattage,tech_Average Battery Standby Life (in hours),tech_Lithium Battery Weight,tech_Number of Audio-out Ports,tech_Front Webcam Resolution,tech_Number of Lithium Metal Cells,tech_Rear Webcam Resolution,tech_Processor Socket,tech_Model,tech_Model Name,tech_Model Year,tech_Memory Storage Capacity,tech_Flash Memory Installed Size,tech_Ram Memory Installed Size,tech_RAM memory maximum size,tech_Ram Memory Technology,tech_Processor model number,tech_Hardware Interface,tech_Special Features,tech_Chipset Type,tech_Mounting Hardware,tech_Number of items,tech_Software included,tech_Display Technology,tech_Display Type,tech_Audio Output Type,tech_Battery Average Life,tech_Battery Average Life Standby,tech_Batteries Included,tech_Batteries Required,tech_Battery cell composition,tech_Total USB ports,tech_Connector Type,tech_Device interface - primary,tech_Supports Bluetooth Technology,tech_Memory Slots Available,tech_Cellular technology,tech_Refresh Rate,tech_Keyboard Description,tech_Item dimensions L x W x H,tech_Recommended Uses For Product,tech_Number of Pieces,tech_Reusability,tech_Pattern,tech_Net Quantity,tech_Finish Type,tech_Number of Microphone Ports,tech_Aspect Ratio,tech_Microphone format,tech_Number of Ports,tech_Battery Description,tech_Item part number
"(Refurbished) Lenovo ThinkPad T480 8th Gen Intel Core i5 Thin & Light FHD Touchscreen Laptop (8 GB DDR4 RAM/512 GB SSD/14"" (35.6 cm) FHD/Windows 11/MS Office/WiFi/Webcam/Intel HD Graphics)","20,899",https://www.amazon.in/Refurbished-Lenovo-ThinkPad-Touchscreen-Graphics/dp/B0DC66DBZS/ref=sr_1_386?dib=eyJ2IjoiMSJ9.rghO41WcgWWjQoGX6TVpR3yXrr1osb81XE6Owlfk-wGWiL4g3oQt1GGIchW7gnIDNOouhHAYwPTivVWdv02Bo5S-g6xwj1PmimwrNygsOL5OvA8qd_RwaPiQ0rbJ9ImcYC9fMGNJnNNLkpiUU4iXp7tx2DqGSYPuzuRzO9E7jjClGyZhGCe70WqFb5ldPFAsh87ovgkzMyn0h9sXIt1t-NZxDnfpvSqjMa24JoUPmHna9sXo2eSrPMZXXp6zAgy25Yye4wR17ckomEr1Mt3SuCMoJOiT6ZpwnTa1fVfzczNAL8cKqA6keS5FUrD_uaEQ-8uyXjVisbCswbt5R23zXcgoifVJeH9JmHMjf7mRbAQ.qk-4rhCCCYHuif8A5D3jcVRW5qp1VrZoSnCvUc-v3VM&dib_tag=se&qid=1737614791&s=computers&sr=1-386&xpid=UXgihshJk2j2d,2025-01-23 14:06:31,Lenovo,,,45 x 35 x 15 cm; 1.7 kg,,,,,,1.00 count,,,Lenovo,Lenovo ThinkPad,,Laptop,,,14 Inches,1920 x 1080 pixel,,1 Lithium Ion batteries required. (included),Intel,Intel Core i5,1.6 GHz,1,,DDR4,16 GB,SSD,Headphones,,Intel,Integrated,Shared,,Integrated,"Bluetooth, Wi-Fi",2,,Windows,Yes,54 Watt Hours,3,"Laptop, Power Cord, Battery",1 kg 700 g,B0DC66DBZS,"5.0
1 rating
5.0 out of 5 stars","#12,266 in Computers & Accessories (See Top 100 in Computers & Accessories)
#43 in Renewed Store.
#380 in Traditional Laptops",5 August 2024,,1920 x 1080 Pixels,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ASUS Vivobook 15 (2023), Intel Core i3-1315U 13th Gen, 15.6"" (39.62 cms) FHD, Thin and Light Laptop (8GB/512GB SSD/Windows 11/Office 2021/Fingerprint/Silver/1.7 kg), X1504VA-NJ324WS","37,990",https://www.amazon.in/ASUS-Vivobook-i3-1315U-Fingerprint-X1504VA-NJ324WS/dp/B0BRY19K7R/ref=sr_1_387?dib=eyJ2IjoiMSJ9.rghO41WcgWWjQoGX6TVpR3yXrr1osb81XE6Owlfk-wGWiL4g3oQt1GGIchW7gnIDNOouhHAYwPTivVWdv02Bo5S-g6xwj1PmimwrNygsOL5OvA8qd_RwaPiQ0rbJ9ImcYC9fMGNJnNNLkpiUU4iXp7tx2DqGSYPuzuRzO9E7jjClGyZhGCe70WqFb5ldPFAsh87ovgkzMyn0h9sXIt1t-NZxDnfpvSqjMa24JoUPmHna9sXo2eSrPMZXXp6zAgy25Yye4wR17ckomEr1Mt3SuCMoJOiT6ZpwnTa1fVfzczNAL8cKqA6keS5FUrD_uaEQ-8uyXjVisbCswbt5R23zXcgoifVJeH9JmHMjf7mRbAQ.qk-4rhCCCYHuif8A5D3jcVRW5qp1VrZoSnCvUc-v3VM&dib_tag=se&qid=1737614791&s=computers&sr=1-387&xpid=UXgihshJk2j2d,2025-01-23 14:06:31,ASUS,China,X1504VA-NJ324WS,,,,"DIGITEK (CHONGQING) Limited, B01 SEC C Airport Function Zone Lianglu Cuntan Free Trade Port Area, Yubei District, China","ASUS INDIA PRIVATE LIMITED, 402, Supreme Chambers, 17/18, Shah Industrial Estate, Veera Desai Road, Andheri (West), Mumbai 400053, India",,1 Count,,Laptop,ASUS,Vivobook 15,"Cool Silver, With Offer",Ultra-Portable,49 Centimeters,6.6 Centimeters,15.6 Inches,,49 x 6.6 x 49 cm; 1.7 kg,1 Lithium Ion batteries required. (included),Intel,Core i3,4.5 GHz,6,8 GB,DDR4,16 GB,SSD,"Headphones, Speakers",Intel UHD Graphics,Intel,Integrated,Shared,8 GB,Integrated,"Bluetooth, Wi-Fi",3,19 Volts,Windows 11 Home,Yes,42 Watt Hours,3,"Laptop, User Manual, 45W AC Adapter",1 kg 700 g,B0BRY19K7R,"3.9
39 ratings
3.9 out of 5 stars","#16,302 in Computers & Accessories (See Top 100 in Computers & Accessories)
#465 in Traditional Laptops",20 April 2023,49 x 6.6 x 49 Centimeters,1920 x 1080 Pixels,SODIMM,,3200 MHz,512 GB,PCIE x 4,"Bluetooth, 802.11ax",6 Hours,,1,Battery Powered,PC,1,,,"SonicMaster, Built-in speaker, Built-in array microphone",45 Watts,6 Hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo V14 G3 (2024), Intel Core i3 12th Gen 1215U - (16GB/512GB SSD/Intel UHD Graphics/Windows 11 Pro) Thin and Light Business Laptop/14.0"" FHD Display/Iron Grey/1.57 kg/MS Office 2021 Pro Plus","33,810",https://www.amazon.in/Lenovo-V14-Intel-Core-1215U/dp/B0DJCPSV47/ref=sr_1_388?dib=eyJ2IjoiMSJ9.rghO41WcgWWjQoGX6TVpR3yXrr1osb81XE6Owlfk-wGWiL4g3oQt1GGIchW7gnIDNOouhHAYwPTivVWdv02Bo5S-g6xwj1PmimwrNygsOL5OvA8qd_RwaPiQ0rbJ9ImcYC9fMGNJnNNLkpiUU4iXp7tx2DqGSYPuzuRzO9E7jjClGyZhGCe70WqFb5ldPFAsh87ovgkzMyn0h9sXIt1t-NZxDnfpvSqjMa24JoUPmHna9sXo2eSrPMZXXp6zAgy25Yye4wR17ckomEr1Mt3SuCMoJOiT6ZpwnTa1fVfzczNAL8cKqA6keS5FUrD_uaEQ-8uyXjVisbCswbt5R23zXcgoifVJeH9JmHMjf7mRbAQ.qk-4rhCCCYHuif8A5D3jcVRW5qp1VrZoSnCvUc-v3VM&dib_tag=se&qid=1737614791&s=computers&sr=1-388&xpid=UXgihshJk2j2d,2025-01-23 14:06:31,V14 G3 IAP,,V14,32.3 x 22.1 x 2.1 cm; 1.5 kg,,,Lenovo India Private Limited,Lenovo India Private Limited,,1 Count,,Business Laptop,Lenovo,V14 G3 IAP,Grey,laptop,,,14 Inches,1920 x 1080 pixels,,2 Lithium Ion batteries required.,Intel,Core i3-1215U,1.2 GHz,6,,DDR4,16 GB,SSD,"Headphones, Speakers",Intel Integrated UHD Graphics,Intel,Integrated,Shared,8 GB,Integrated,"Bluetooth, Wi-Fi",2,,Windows 11 Pro,,38 Watt Hours,2,"LAPTOP, POWER ADAPTER, USER GUIDE",1 kg 500 g,B0DJCPSV47,"4.6
3 ratings
4.6 out of 5 stars","#20,271 in Computers & Accessories (See Top 100 in Computers & Accessories)
#571 in Traditional Laptops",2 October 2024,,1920 x 1080 Pixels,DDR4 SDRAM,,4.4 GHz,512 GB,Solid State,,6 Hours,7200 RPM,1,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HP Laptop 245 G10 (2024), AMD Ryzen 5 7530U-(8GB/512GB SSD/AMD Radeon Graphics/Windows 11 Pro) Thin and Light Business Laptop/14.0""/Grey Black/1.36 kg/MS Office 2021 Pro Plus","36,990",https://www.amazon.in/HP-Laptop-Graphics-Windows-Business/dp/B0DLX1BKQ4/ref=sr_1_389?dib=eyJ2IjoiMSJ9.rghO41WcgWWjQoGX6TVpR3yXrr1osb81XE6Owlfk-wGWiL4g3oQt1GGIchW7gnIDNOouhHAYwPTivVWdv02Bo5S-g6xwj1PmimwrNygsOL5OvA8qd_RwaPiQ0rbJ9ImcYC9fMGNJnNNLkpiUU4iXp7tx2DqGSYPuzuRzO9E7jjClGyZhGCe70WqFb5ldPFAsh87ovgkzMyn0h9sXIt1t-NZxDnfpvSqjMa24JoUPmHna9sXo2eSrPMZXXp6zAgy25Yye4wR17ckomEr1Mt3SuCMoJOiT6ZpwnTa1fVfzczNAL8cKqA6keS5FUrD_uaEQ-8uyXjVisbCswbt5R23zXcgoifVJeH9JmHMjf7mRbAQ.qk-4rhCCCYHuif8A5D3jcVRW5qp1VrZoSnCvUc-v3VM&dib_tag=se&qid=1737614791&s=computers&sr=1-389&xpid=UXgihshJk2j2d,2025-01-23 14:06:31,HP SALES CORPORATION,China,,45.1 x 31 x 6.9 cm; 1.36 kg,,,Hp sales india pvt ltd,MAIL @ HP,,,,Business Laptop Notebook,HP,245 G10,Black,Clamshell,,,14 Inches,1280 x 720 pixels,,1 Lithium Ion batteries required. (included),AMD,Ryzen 5,2.6 GHz,4,,DDR4,8 GB,SSD,"internal, Bluetooth, HDMI",AMD Radeon 520,AMD,Integrated,DDR4 SDRAM,,Integrated,"Bluetooth, Wi-Fi",2,,Windows 11 Pro,Yes,6000 Milliamp Hours (mAh),3,Keyboard,1 kg 360 g,B0DLX1BKQ4,"4.0
1 rating
4.0 out of 5 stars","#15,056 in Computers & Accessories (See Top 100 in Computers & Accessories)
#443 in Traditional Laptops",4 November 2024,,1280x720,DDR4 SDRAM,DVD,,515 GB,,,7.5 Hours,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HP Laptop 240 G9 (2024), Intel Core i3 12th Gen 1215U - (8GB/512GB SSD/Intel Iris Xe Graphics/Windows 11) Thin and Light Business Laptop/14 (35.56cm)/Silver/1.47 kg/MS Office 2021","32,699",https://www.amazon.in/HP-Laptop-240-Intel-1215U/dp/B0DJCRN6ZX/ref=sr_1_390?dib=eyJ2IjoiMSJ9.rghO41WcgWWjQoGX6TVpR3yXrr1osb81XE6Owlfk-wGWiL4g3oQt1GGIchW7gnIDNOouhHAYwPTivVWdv02Bo5S-g6xwj1PmimwrNygsOL5OvA8qd_RwaPiQ0rbJ9ImcYC9fMGNJnNNLkpiUU4iXp7tx2DqGSYPuzuRzO9E7jjClGyZhGCe70WqFb5ldPFAsh87ovgkzMyn0h9sXIt1t-NZxDnfpvSqjMa24JoUPmHna9sXo2eSrPMZXXp6zAgy25Yye4wR17ckomEr1Mt3SuCMoJOiT6ZpwnTa1fVfzczNAL8cKqA6keS5FUrD_uaEQ-8uyXjVisbCswbt5R23zXcgoifVJeH9JmHMjf7mRbAQ.qk-4rhCCCYHuif8A5D3jcVRW5qp1VrZoSnCvUc-v3VM&dib_tag=se&qid=1737614791&s=computers&sr=1-390&xpid=UXgihshJk2j2d,2025-01-23 14:06:31,HP,,240,32.3 x 22.1 x 1.8 cm; 1.5 kg,,,HP INDIA PRIVATE LIMITED,HP INDIA PRIVATE LIMITED,,1 Count,,BUSINESS LAPTOP,HP,240,Silver,,,,14 Inches,1366 x 768 pixels,,,Intel,Core i3-1215U,4.4 GHz,6,,DDR4,16 GB,SSD,"Headphones, Speakers",Intel Iris Xe Graphics,Intel,Integrated,Shared,,Integrated,"Bluetooth, Wi-Fi",1,,Windows 11 Pro,,,,"LAPTOP, POWER ADAPTER, USER GUIDE",1 kg 500 g,B0DJCRN6ZX,"2.5
2 ratings
2.5 out of 5 stars","#13,483 in Computers & Accessories (See Top 100 in Computers & Accessories)
#403 in Traditional Laptops",2 October 2024,,1366 x 768 Pixels,DDR4 SDRAM,,4.4 GHz,512 GB,Solid State,,,7200 RPM,1,,,2,,1,Stereo speakers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(Refurbished) Lenovo IdeaPad 1 AMD Ryzen 5 5500U 15.6"" HD Thin and Light Laptop (16GB/512GB SSD/Windows 11 Home/MS Office 2021/Cloud Grey/1.61Kg), 82R400ERIN","34,191",https://www.amazon.in/Refurbished-Lenovo-IdeaPad-Windows-82R400ERIN/dp/B0CWVSL14X/ref=sr_1_391?dib=eyJ2IjoiMSJ9.rghO41WcgWWjQoGX6TVpR3yXrr1osb81XE6Owlfk-wGWiL4g3oQt1GGIchW7gnIDNOouhHAYwPTivVWdv02Bo5S-g6xwj1PmimwrNygsOL5OvA8qd_RwaPiQ0rbJ9ImcYC9fMGNJnNNLkpiUU4iXp7tx2DqGSYPuzuRzO9E7jjClGyZhGCe70WqFb5ldPFAsh87ovgkzMyn0h9sXIt1t-NZxDnfpvSqjMa24JoUPmHna9sXo2eSrPMZXXp6zAgy25Yye4wR17ckomEr1Mt3SuCMoJOiT6ZpwnTa1fVfzczNAL8cKqA6keS5FUrD_uaEQ-8uyXjVisbCswbt5R23zXcgoifVJeH9JmHMjf7mRbAQ.qk-4rhCCCYHuif8A5D3jcVRW5qp1VrZoSnCvUc-v3VM&dib_tag=se&qid=1737614791&s=computers&sr=1-391&xpid=UXgihshJk2j2d,2025-01-23 14:06:31,Lenovo,,82R400ERIN-cr,53.29 x 33.2 x 7.2 cm; 1.61 kg,,,,,,1 Piece,,Laptop,Lenovo,IdeaPad,Cloud Grey,Ultra-Portable,,,15.6 Inches,1366 x 768,,,AMD,Ryzen 5,2.1 GHz,6,16 GB,DDR4,16 GB,SSD,,Integrated AMD Radeon Graphics,AMD,Integrated,Shared,,,"Bluetooth, Wi-Fi",,,Windows 11 Home,Yes,42 Watt Hours,3,"Laptop, User Manual, Power Adapter",1 kg 610 g,B0CWVSL14X,,"#12,467 in Computers & Accessories (See Top 100 in Computers & Accessories)
#388 in Traditional Laptops",1 March 2024,,1920 x 1080 Pixels,DDR5 RAM,,,512 GB,PCIE x 4,Bluetooth,10 Hours,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo IdeaPad 1 AMD Ryzen 5 7520U 15.6"" HD Thin and Light Laptop (8 GB/512GB SDD/Windows 11 Home/1Yr Warranty/Cloud Grey/1.58Kg), 82VG00ESIN","36,990",https://www.amazon.in/Lenovo-IdeaPad-Windows-Warranty-82VG00ESIN/dp/B0CJVGKM7D/ref=sr_1_392?dib=eyJ2IjoiMSJ9.rghO41WcgWWjQoGX6TVpR3yXrr1osb81XE6Owlfk-wGWiL4g3oQt1GGIchW7gnIDNOouhHAYwPTivVWdv02Bo5S-g6xwj1PmimwrNygsOL5OvA8qd_RwaPiQ0rbJ9ImcYC9fMGNJnNNLkpiUU4iXp7tx2DqGSYPuzuRzO9E7jjClGyZhGCe70WqFb5ldPFAsh87ovgkzMyn0h9sXIt1t-NZxDnfpvSqjMa24JoUPmHna9sXo2eSrPMZXXp6zAgy25Yye4wR17ckomEr1Mt3SuCMoJOiT6ZpwnTa1fVfzczNAL8cKqA6keS5FUrD_uaEQ-8uyXjVisbCswbt5R23zXcgoifVJeH9JmHMjf7mRbAQ.qk-4rhCCCYHuif8A5D3jcVRW5qp1VrZoSnCvUc-v3VM&dib_tag=se&qid=1737614791&s=computers&sr=1-392&xpid=UXgihshJk2j2d,2025-01-23 14:06:31,Lenovo,,82VG00ESIN,,,,"One of the below: Hefei Bitland Information Technology Co.,Ltd - No.4088 Jiuxiu Road National Hefei economic & technology development area Hefei Anhui China LCFC（Hefei) Electronics Technology Co., Ltd. - NO.1-3188,YUNGU ROAD, HEFEI EXPORT PROCESSING ZONE. ANHUI PROVINCE,CHINA Tech-Com(Shanghai) Computer Co Ltd - No.6 Ln.58,San-Zhuang Rd., Songjiang EPZ ShangHai, China Wistron InfoComm (Kunshan) Co.Ltd - 168# First Avenue, Kunshan Export Processing Zone, Kunshan, Jiangsu, China Compal information technology (kunshan) CO., LTD. - Address: No. 58, the 1st street, Kunshan Export Processing Zone, Jiangsu, P.R.O.C. CHINA Kunshan Hichain storage Co. Ltd - No. 88 Xinxiang Road Avenue Kunshan CBZ Wujiang Hichain warehousing LTD - No.2088 Pangjin road, Wujiang economic development area, Jiangsu, China","Lenovo (India) Private Limited, RBD Icon, Level 2, Doddenakundi Village, Marathahalli Outer Ring Road, K. R. Puram Hobli, Bangalore 560037, Karnataka, India",,1 Piece,,Laptop,Lenovo,IdeaPad 1 15AMN7,Cloud Grey,Ultra-Portable,50 Centimeters,7.6 Centimeters,15.6 Inches,Full HD,50 x 7.6 x 50 cm; 1.58 kg,1 Lithium Polymer batteries required. (included),AMD,Ryzen 3,2.8 GHz,4,8 GB,Lpddr 5,8 GB,SSD,"Headphones, Speakers",Integrated AMD Radeon 610M Graphics,AMD,Integrated,Shared,,Integrated,"Bluetooth, Wi-Fi",2,,Windows 11 Home,Yes,42 Watt Hours,3,"Laptop, User Manual, Power Adapter",1 kg 580 g,B0CJVGKM7D,"4.2
7 ratings
4.2 out of 5 stars","#17,892 in Computers & Accessories (See Top 100 in Computers & Accessories)
#505 in Traditional Laptops",26 September 2023,50 x 7.6 x 50 Centimeters,1920 x 1080 Pixels,DDR5 RAM,No Optical Drive,,512 GB,PCIE x 4,Bluetooth,10 Hours,,,,,1,,,"Stereo speakers, 1.5W x2, Dolby Audio",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(Renewed) Lenovo ThinkPad T470 7th Gen Intel Core i5 Thin & Light HD Touchscreen Laptop (8 GB DDR4 RAM/256 GB SSD/14"" (35.6 cm) HD/Windows 11/MS Office/WiFi/Bluetooth 4.1/Webcam/Intel Graphics)","16,778",https://www.amazon.in/Refurbished-Lenovo-ThinkPad-Touchscreen-Bluetooth/dp/B0CBKT2ZMQ/ref=sr_1_393?dib=eyJ2IjoiMSJ9.rghO41WcgWWjQoGX6TVpR3yXrr1osb81XE6Owlfk-wGWiL4g3oQt1GGIchW7gnIDNOouhHAYwPTivVWdv02Bo5S-g6xwj1PmimwrNygsOL5OvA8qd_RwaPiQ0rbJ9ImcYC9fMGNJnNNLkpiUU4iXp7tx2DqGSYPuzuRzO9E7jjClGyZhGCe70WqFb5ldPFAsh87ovgkzMyn0h9sXIt1t-NZxDnfpvSqjMa24JoUPmHna9sXo2eSrPMZXXp6zAgy25Yye4wR17ckomEr1Mt3SuCMoJOiT6ZpwnTa1fVfzczNAL8cKqA6keS5FUrD_uaEQ-8uyXjVisbCswbt5R23zXcgoifVJeH9JmHMjf7mRbAQ.qk-4rhCCCYHuif8A5D3jcVRW5qp1VrZoSnCvUc-v3VM&dib_tag=se&qid=1737614791&s=computers&sr=1-393&xpid=UXgihshJk2j2d,2025-01-23 14:06:31,Lenovo,India,Lenovo ThinkPad,48.29 x 30.6 x 6.5 cm; 1.61 kg,,,"COREPACK SOLUTIONS LLP . 407 Goverdhan Building , NehruPlace , New Delhi 110019 Ph 9999873585",,,1.00 count,,"(Refurbished) Lenovo ThinkPad T470 7th Gen Intel Core i5 Thin & Light HD Touchscreen Laptop (16 GB DDR4 RAM/256 GB SSD/14"" (35.6 cm) HD/Windows 11/MS Office/WiFi/Bluetooth 4.1/Webcam/Intel Graphics)",Lenovo,Lenovo ThinkPad,black,Laptop,,,14 Inches,1366 x 768,,1 Lithium Ion batteries required. (included),Intel,Intel Core i5,2.5 GHz,1,8 GB,DDR4,16 GB,SSD,Headphones,Intel HD Graphics 620,Intel,Integrated,Shared,8 GB,Integrated,"Bluetooth, Wi-Fi",3,,Windows,Yes,55 Watt Hours,3,"Laptop, Power Cord, Battery",1 kg 610 g,B0CBKT2ZMQ,"3.3
329 ratings
3.3 out of 5 stars","#20,690 in Computers & Accessories (See Top 100 in Computers & Accessories)
#582 in Traditional Laptops",10 July 2023,,1366 x 768 Pixels,,,,256 GB,USB,Bluetooth,,5400 RPM,1,ac,Windows,,,,,,,50 Grams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ASUS ROG Strix G16 (2023) 90WHr Battery, Intel Core i9-13980HX 13th Gen, 16"" QHD+ 240Hz, 8GB RTX 4060, Gaming Laptop (16GB/1TB SSD/Windows 11/Office 2021/4-Zone RGB/Gray/2.50 Kg), G614JV-N4141WS","1,59,990",https://www.amazon.in/ASUS-Battery-i9-13980HX-Windows-G614JV-N4141WS/dp/B0C4TVFFT6/ref=sr_1_394?dib=eyJ2IjoiMSJ9.rghO41WcgWWjQoGX6TVpR3yXrr1osb81XE6Owlfk-wGWiL4g3oQt1GGIchW7gnIDNOouhHAYwPTivVWdv02Bo5S-g6xwj1PmimwrNygsOL5OvA8qd_RwaPiQ0rbJ9ImcYC9fMGNJnNNLkpiUU4iXp7tx2DqGSYPuzuRzO9E7jjClGyZhGCe70WqFb5ldPFAsh87ovgkzMyn0h9sXIt1t-NZxDnfpvSqjMa24JoUPmHna9sXo2eSrPMZXXp6zAgy25Yye4wR17ckomEr1Mt3SuCMoJOiT6ZpwnTa1fVfzczNAL8cKqA6keS5FUrD_uaEQ-8uyXjVisbCswbt5R23zXcgoifVJeH9JmHMjf7mRbAQ.qk-4rhCCCYHuif8A5D3jcVRW5qp1VrZoSnCvUc-v3VM&dib_tag=se&qid=1737614791&s=computers&sr=1-394&xpid=UXgihshJk2j2d,2025-01-23 14:06:31,ASUS,China,G614JV-N4141WS_WO,,,,"INVENTEC (CHONGQING) CORPORATION, NO.66, WEST DISTRICT 2ND RD, SHAPINGBA DISTRICT, CHONGQING, CHINA 401331","ASUS INDIA PRIVATE LIMITED, 402, Supreme chambers, 17/18, Shah Industrial Estate, Veera Desai Road, Andheri (West), Mumbai 400053, India",,1 Count,,Gaming Laptop,ASUS,ROG Strix G16 (2023),"Eclipse Gray, With Offer",Gaming Laptop,44.5 Centimeters,10.4 Centimeters,16 Inches,2560 x 1600 pixels,44.5 x 10.4 x 44.5 cm; 2.5 kg,1 Lithium Ion batteries required. (included),Intel,Core i9,5.6 GHz,24,16 GB,"SODIMM, SODIMM, SODIMM",32 GB,SSD,"Headphones, Speakers",NVIDIA GeForce RTX 4060,NVIDIA,Dedicated,GDDR6,8 GB,PCI Express,"Bluetooth, Wi-Fi",3,20 Volts,Windows 11 Home,Yes,,4,"Laptop, Adapter & User Manual",2 kg 500 g,B0C4TVFFT6,"4.1
21 ratings
4.1 out of 5 stars","#6,033 in Computers & Accessories (See Top 100 in Computers & Accessories)
#184 in Traditional Laptops",17 May 2023,44.5 x 10.4 x 44.5 Centimeters,2560 x 1600 Pixels,SODIMM,No Optical Storage,5.6 GHz,1 TB,PCIE x 4,"Bluetooth, 802.11ax",,,1,Battery Powered,PC,1,,,,280 Watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(Refurbished) HP EliteBook 820 G4 7th Gen Intel Core i5 Thin & Light HD Laptop (16 GB DDR4 RAM|256 GB SSD|12.5"" (31.8 cm) HD|Windows 11|MS Office|WiFi|Webcam|Intel HD Graphics)","17,499",https://www.amazon.in/Refurbished-HP-EliteBook-Windows-Graphics/dp/B0DKT5MHKF/ref=sr_1_395?dib=eyJ2IjoiMSJ9.rghO41WcgWWjQoGX6TVpR3yXrr1osb81XE6Owlfk-wGWiL4g3oQt1GGIchW7gnIDNOouhHAYwPTivVWdv02Bo5S-g6xwj1PmimwrNygsOL5OvA8qd_RwaPiQ0rbJ9ImcYC9fMGNJnNNLkpiUU4iXp7tx2DqGSYPuzuRzO9E7jjClGyZhGCe70WqFb5ldPFAsh87ovgkzMyn0h9sXIt1t-NZxDnfpvSqjMa24JoUPmHna9sXo2eSrPMZXXp6zAgy25Yye4wR17ckomEr1Mt3SuCMoJOiT6ZpwnTa1fVfzczNAL8cKqA6keS5FUrD_uaEQ-8uyXjVisbCswbt5R23zXcgoifVJeH9JmHMjf7mRbAQ.qk-4rhCCCYHuif8A5D3jcVRW5qp1VrZoSnCvUc-v3VM&dib_tag=se&qid=1737614791&s=computers&sr=1-395&xpid=UXgihshJk2j2d,2025-01-23 14:06:31,HP,,,45 x 35 x 15 cm; 1.5 kg,,,,,,1.00 count,,,HP,HP EliteBook 820 G4,,Clamshell,,,12.5 Inches,1366 x 768 pixels,,1 Lithium Ion batteries required. (included),Intel,Intel Core i5,2.6 GHz,1,,DDR4,16 GB,SSD,internal,,Intel,Integrated,Shared,,,Wi-Fi,,,Windows,Yes,55 Watt Hours,1,"Laptop, Power Cord, Battery",1 kg 500 g,B0DKT5MHKF,"3.2
8 ratings
3.2 out of 5 stars","#54,457 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,631 in Traditional Laptops",24 October 2024,,1366 x 768 Pixels,DDR4 SDRAM,,,256 GB,Serial ATA,802.11n,,,,,,,,,Built-in speakers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
